,Unnamed: 0.1,Unnamed: 0,Event ID,Event Date,Event Type,Event Intensity,Quad Code,Contexts,Actor Name,Actor Country,Actor Title,Actor Name Raw,Recipient Name,Recipient Country,Recipient Title,Recipient Name Raw,Country,Raw Placename,Publication Date,Language,Version
215,215,215,20220208-3309-6Eb4Ba446744_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,,Kerala High Court,India,High Court,Kerala High Court,Dileep,India,Actor,Dileep,IND,"['[""[\'KL\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
216,216,216,20220208-1441-D73969841168_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,,Ashok Gehlot,India,Chief Minister,Ashok Gehlot,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'RJ\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
217,217,217,20220208-2524-F00852160A12_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Election,Congee,,Diet,Congress,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'DL\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
218,218,218,20220208-6887-8Ea44291Fac2_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Election,Bhagwant Mann,India,Member Of Parliament,Bhagwant Mann,Punjab,Pakistan,Region,Punjab Politicians,IND,"['[""[\'PB\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
219,219,219,20220208-5036-51A9Bd1784C3_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Election,Bhagwant Mann,India,Member Of Parliament,Bhagwant Mann,Punjab,Pakistan,Region,Punjab Politicians,IND,"['[""[\'PB\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
220,220,220,20220208-7597-6788Fe6C1Aa7_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,Health | Migration,Priyanka Gandhi,India,Secretary Of Civil,Priyanka Gandhi Vadra,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'GA\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
221,221,221,20220208-8450-1E3972B25Ce7_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,Congee,,Diet,Congress,IND,"['[""[\'RJ\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
222,222,222,20220208-3380-41067A6Fa347_Protest,2022-02-08,Protest,-5.0,Material Conflict,Election,Narendra Modi,India,Prime Minister,Narendra Modi,Congee,,Diet,Congress,IND,"['[""[\'UK\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
223,223,223,20220208-9826-F2582144Af02_Coerce,2022-02-08,Coerce,-7.0,Material Conflict,Migration,Congee,,Diet,Congress,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'MH\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
224,224,224,20220208-4335-Ec56751Bc6Cd_Accuse,2022-02-08,Accuse,-3.0,Verbal Conflict,,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,Congress Nationalist Party,India,Political Party,Congress Party,IND,"['[""[\'DL\']""]']",2022-02-08,English,Ngec_Coder-Vers001-B1-Run-001
225,225,225,20220209-3545-7B03A9713838_Protest_Demo,2022-02-09,Protest,-5.0,Material Conflict,Health,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'KA\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
226,226,226,20220209-3545-7B03A9713838_Accuse,2022-02-09,Accuse,-3.0,Verbal Conflict,Health,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'KA\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
227,227,227,20220209-9591-402A76960Bed_Accuse,2022-02-09,Accuse,-3.0,Verbal Conflict,Health,Narendra Modi,India,Prime Minister,Pm Modi,Congress Nationalist Party,India,Political Party,Congress Party,IND,"['[""[\'MH\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
228,228,228,20220209-2188-5D6F12336485_Accuse,2022-02-09,Accuse,-3.0,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'PB\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
229,229,229,20220209-8918-C5209B3Cd6Ed_Protest_Demo,2022-02-09,Protest,-5.0,Material Conflict,Health | Migration,Congee,,Diet,Congress,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'MH\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
230,230,230,20220209-0010-9A66Ef1B1606_Assault,2022-02-09,Assault,-9.0,Material Conflict,Health | Migration,Congee,,Diet,Congress,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'MH\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
231,231,231,20220209-0010-9A66Ef1B1606_Protest_Demo,2022-02-09,Protest,-5.0,Material Conflict,Health | Migration,Congee,,Diet,Congress,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'MH\']""]']",2022-02-09,English,Ngec_Coder-Vers001-B1-Run-001
232,232,232,20220210-6386-0E8E8Ea6696E_Accuse,2022-02-10,Accuse,-3.0,Verbal Conflict,,Bhupinder Singh Hooda,India,Member Of The Legislature,Bhupinder Singh Hooda,Bharatiya Janata Party,India,Political Party,Bjp - Jjp Government,IND,"['[""[\'HR\']""]']",2022-02-10,English,Ngec_Coder-Vers001-B1-Run-001
233,233,233,20220210-4056-18B6Fe10Bbe2_Concede,2022-02-10,Concede,4.5,Verbal Cooperation,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp Government,IND,"['[""[\'UP\']""]']",2022-02-10,English,Ngec_Coder-Vers001-B1-Run-001
234,234,234,20220210-5210-27Ea71E41Af4_Accuse,2022-02-10,Accuse,-3.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-10,English,Ngec_Coder-Vers001-B1-Run-001
235,235,235,20220210-5210-27Ea71E41Af4_Request,2022-02-10,Request,0.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-10,English,Ngec_Coder-Vers001-B1-Run-001
236,236,236,20220210-9661-68C594937055_Threaten,2022-02-10,Threaten,-3.5,Verbal Conflict,Election,Calcutta High Court,India,High Court,Calcutta High Court,Government Of West Bengal,India,Government,West Bengal Government,IND,"['[""[\'WB\']""]']",2022-02-10,English,Ngec_Coder-Vers001-B1-Run-001
237,237,237,20220211-2597-Bdd4928F25Fc_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
238,238,238,20220211-8124-313B02A528Cd_Concede,2022-02-11,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
239,239,239,20220211-9726-0996Df909F4E_Sanction_Convict,2022-02-11,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
240,240,240,20220211-9726-0996Df909F4E_Concede,2022-02-11,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
241,241,241,20220211-6201-E7B83C8Fc31D_Sanction_Convict,2022-02-11,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
242,242,242,20220211-6201-E7B83C8Fc31D_Concede,2022-02-11,Concede,4.5,Verbal Cooperation,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
243,243,243,20220211-8124-313B02A528Cd_Sanction_Convict,2022-02-11,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'DL\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
244,244,244,20220211-7240-C4462C520E42_Assault,2022-02-11,Assault,-9.0,Material Conflict,,Keshav Prasad Maurya,India,Deputy Prime Minister,Keshav Prasad Maurya,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
245,245,245,20220211-6340-E506359A77A2_Mobilize,2022-02-11,Mobilize,-5.5,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress,IND,"['[""[\'UK\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
246,246,246,20220211-4926-D73875B227E7_Assault,2022-02-11,Assault,-9.0,Material Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
247,247,247,20220211-0521-0010Ff20Fb9F_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
248,248,248,20220211-5677-9F637821D2C9_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,Election,Rahul Gandhi,India,Member Of Parliament,Rahul Gandhi,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'GA\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
249,249,249,20220211-7240-C4462C520E42_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,,Keshav Prasad Maurya,India,Deputy Prime Minister,Keshav Prasad Maurya,Akhilesh Yadav,India,Party President,Akhilesh Yadav,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
250,250,250,20220211-8952-71E9D43Bcddd_Sanction_Convict,2022-02-11,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
251,251,251,20220211-4926-D73875B227E7_Accuse,2022-02-11,Accuse,-3.0,Verbal Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
252,252,252,20220211-6992-903878Accc4F_Protest,2022-02-11,Protest,-5.0,Material Conflict,,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,Congee,,Diet,Congress,IND,"['[""[\'UK\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
253,253,253,20220211-0800-083B43107F00_Request,2022-02-11,Request,0.0,Verbal Conflict,,Narendra Modi,India,Prime Minister,Narendra Modi,Congee,,Diet,Congress,IND,"['[""[\'UK\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
254,254,254,20220211-2324-282958E326Fa_Threaten,2022-02-11,Threaten,-3.5,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Hemant Soren,,Chief Minister,Hemant Soren,IND,"['[""[\'JH\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
255,255,255,20220211-0521-0010Ff20Fb9F_Assault,2022-02-11,Assault,-9.0,Material Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
256,256,256,20220211-9247-E3237Bf5B6Ed_Sanction_Convict,2022-02-11,Sanction,-6.0,Material Conflict,,Priyanka Gandhi,India,Secretary Of Civil,Priyanka Gandhi,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'UP\']""]']",2022-02-11,English,Ngec_Coder-Vers001-B1-Run-001
257,257,257,20220213-3067-0Fe8Bad6B8E9_Sanction_Convict,2022-02-13,Sanction,-6.0,Material Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-02-13,English,Ngec_Coder-Vers001-B1-Run-001
258,258,258,20220213-1395-A8Aa44Ce9905_Accuse,2022-02-13,Accuse,-3.0,Verbal Conflict,Election,Charanjit Singh Channi,India,Chief Minister,Charanjit Singh Channi,Arvind Kejriwal,India,Chief Minister,Arvind Kejriwal,IND,"['[""[\'PB\']""]']",2022-02-13,English,Ngec_Coder-Vers001-B1-Run-001
259,259,259,20220214-4294-Bac534B9068F_Accuse,2022-02-14,Accuse,-3.0,Verbal Conflict,Election | Health,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'UP\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
260,260,260,20220214-9748-B7D6Ee58E2F9_Protest_Demo,2022-02-14,Protest,-5.0,Material Conflict,,Congress Nationalist Party,India,Political Party,Congress Party,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'KA\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
261,261,261,20220214-0241-61A158Fb6A88_Request,2022-02-14,Request,0.0,Verbal Conflict,,Nitish Kumar,India,Chief Minister,Nitish Kumar,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'BR\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
262,262,262,20220214-6332-90C86D8Eec90_Request,2022-02-14,Request,0.0,Verbal Conflict,,Nitish Kumar,India,Chief Minister,Nitish Kumar,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,IND,"['[""[\'BR\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
263,263,263,20220214-1477-1Eaabe0A8D84_Accuse,2022-02-14,Accuse,-3.0,Verbal Conflict,Election,Rahul Gandhi,India,Member Of Parliament,Rahul Gandhi,Narendra Modi,India,Prime Minister,Narendra Modi - Led Government,IND,"['[""[\'PB\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
264,264,264,20220214-8461-7114295D8F32_Retreat,2022-02-14,Retreat,6.5,Material Cooperation,Election,Rahul Gandhi,India,Member Of Parliament,Rahul Gandhi,Bharatiya Janata Party,India,Political Party,Bjp - Led Central Government,IND,"['[""[\'PB\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
265,265,265,20220214-3714-17D1E48A0Ed7_Concede,2022-02-14,Concede,4.5,Verbal Cooperation,,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
266,266,266,20220214-1856-De6127Ee0B17_Accuse,2022-02-14,Accuse,-3.0,Verbal Conflict,,Supreme Court,,Court Supreme,The Supreme Court,Government Of Gujarat,India,Government,Gujarat Government,IND,"['[""[\'KA\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
267,267,267,20220214-7670-C959637F7A3E_Accuse,2022-02-14,Accuse,-3.0,Verbal Conflict,Election,Bharatiya Janata Party,India,Political Party,Bjp,Congee,,Diet,Congress,IND,"['[""[\'UK\']""]']",2022-02-14,English,Ngec_Coder-Vers001-B1-Run-001
268,268,268,20220215-2534-30735110F494_Accuse,2022-02-15,Accuse,-3.0,Verbal Conflict,,Sanjay Raut,India,Member Of Parliament,Sanjay Raut,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'MH\']""]']",2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
269,269,269,20220215-7730-5D9F4026D439_Assault,2022-02-15,Assault,-9.0,Material Conflict,,Sanjay Raut,India,Member Of Parliament,Sanjay Raut,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,IND,"['[""[\'TN\']""]']",2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
270,270,270,20220215-4921-3Cd9D20B8B67_Accuse,2022-02-15,Accuse,-3.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
271,271,271,20220215-4921-3Cd9D20B8B67_Protest,2022-02-15,Protest,-5.0,Material Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
272,272,272,20220215-7589-5A29D5Cec4Bb_Protest,2022-02-15,Protest,-5.0,Material Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
273,273,273,20220215-7589-5A29D5Cec4Bb_Accuse,2022-02-15,Accuse,-3.0,Verbal Conflict,,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp,IND,"['[""[\'UP\']""]']",2022-02-15,English,Ngec_Coder-Vers001-B1-Run-001
274,274,274,20220216-2446-91D0A7E957A3_Accuse,2022-02-16,Accuse,-3.0,Verbal Conflict,Election,Narendra Modi,India,Prime Minister,Pm Modi,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-02-16,English,Ngec_Coder-Vers001-B1-Run-001
275,275,275,20220216-9972-0536C5E90F4C_Accuse,2022-02-16,Accuse,-3.0,Verbal Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,IND,"['[""[\'UP\']""]']",2022-02-16,English,Ngec_Coder-Vers001-B1-Run-001
276,276,276,20220216-3981-Aad2B3272Eb2_Accuse,2022-02-16,Accuse,-3.0,Verbal Conflict,Military | Election,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-02-16,English,Ngec_Coder-Vers001-B1-Run-001
277,277,277,20220216-5573-21C4D945B6Cf_Accuse,2022-02-16,Accuse,-3.0,Verbal Conflict,Military | Election,Narendra Modi,India,Prime Minister,Prime Minister Narendra Modi,Congee,,Diet,Congress,IND,"['[""[\'PB\']""]']",2022-02-16,English,Ngec_Coder-Vers001-B1-Run-001
278,278,278,20220217-5126-Db7D46Eab4Ee_Accuse,2022-02-17,Accuse,-3.0,Verbal Conflict,,Congee,,Diet,Congress,Bharatiya Janata Party,India,Political Party,Bjp Leaders,IND,"['[""[\'KA\']""]']",2022-02-17,English,Ngec_Coder-Vers001-B1-Run-001
279,279,279,20220217-2242-2Ffee198127F_Accuse,2022-02-17,Accuse,-3.0,Verbal Conflict,,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-02-17,English,Ngec_Coder-Vers001-B1-Run-001
280,280,280,20220217-5849-D8Afc66Eb487_Threaten,2022-02-17,Threaten,-3.5,Verbal Conflict,Election,Bharatiya Janata Party,India,Political Party,Bjp,Bharatiya Janata Party,India,Political Party,The Bjp,IND,"['[""[\'PB\']""]']",2022-02-17,English,Ngec_Coder-Vers001-B1-Run-001
281,281,281,20220218-5862-31B37D6Bb9Fb_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,,Bharatiya Janata Party,India,Political Party,Bjp National President,Samajwadi Party,India,Political Party,Samajwadi Party Government,IND,"['[""[\'UP\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
282,282,282,20220218-8887-902028F89049_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp Leaders,IND,"['[""[\'UP\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
283,283,283,20220218-5372-6E8Aedb7D6B9_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Bharatiya Janata Party,India,Political Party,Bjp Leaders,IND,"['[""[\'UP\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
284,284,284,20220218-8253-Bd540739F0A1_Mobilize,2022-02-18,Mobilize,-5.5,Material Conflict,,Bharatiya Janata Party,India,Political Party,Bjp Chief,Samajwadi Party,India,Political Party,Samajwadi Party Government,IND,"['[""[\'UP\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
285,285,285,20220218-6743-4764619832D0_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,IND,"['[""[\'PB\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
286,286,286,20220218-8781-0B3F99F04D93_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,,Bombay High Court,India,National Court,Bombay High Court,Government Of Maharashtra,,Judicial Branch,Maharashtra Government,IND,"['[""[\'MH\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
287,287,287,20220218-6420-Ff8953921D12_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,Election,Bharatiya Janata Party,India,Political Party,Bharatiya Janata Party,Aam Aadmi Party,India,Political Party,Aam Aadmi Party,IND,"['[""[\'PB\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
288,288,288,20220218-4692-B8E54224D189_Accuse,2022-02-18,Accuse,-3.0,Verbal Conflict,,Bombay High Court,India,National Court,Bombay High Court,Government Of Maharashtra,,Judicial Branch,Maharashtra Government,IND,"['[""[\'MH\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
289,289,289,20220218-5723-B4D57Bbdbc1C_Request,2022-02-18,Request,0.0,Verbal Conflict,,Supreme Court,,Court Supreme,Supreme Court,Government Of Uttar Pradesh,India,Chief Of State,Uttar Pradesh Government,IND,"['[""[\'UP\']""]']",2022-02-18,English,Ngec_Coder-Vers001-B1-Run-001
290,290,290,20220219-1679-D3Eb7Efd97E1_Accuse,2022-02-19,Accuse,-3.0,Verbal Conflict,Military,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,"['[""[\'JK\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
291,291,291,20220219-2701-8D023D1Efda8_Request,2022-02-19,Request,0.0,Verbal Conflict,Election,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,"['[""[\'UP\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
292,292,292,20220219-5507-5Df24A62De05_Sanction,2022-02-19,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Bombay High Court,India,National Court,Bombay High Court,IND,"['[""[\'MH\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
293,293,293,20220219-0640-2F1487A7Bf0D_Sanction,2022-02-19,Sanction,-6.0,Material Conflict,,Supreme Court,,Court Supreme,Supreme Court,Ajit Pawar,India,Cabinet Secretary,Ajit Pawar,IND,"['[""[\'MH\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
294,294,294,20220219-1679-D3Eb7Efd97E1_Assault,2022-02-19,Assault,-9.0,Material Conflict,Military,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,"['[""[\'JK\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
295,295,295,20220219-9197-4A84D48A2279_Request,2022-02-19,Request,0.0,Verbal Conflict,Election,Amit Shah,India,"Previously Held A Gov Role, So Coded As Eli.",Amit Shah,Congee,,Diet,Congress,IND,"['[""[\'UP\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
296,296,296,20220219-3501-E6A473Df18Af_Mobilize,2022-02-19,Mobilize,-5.5,Material Conflict,,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,Samajwadi Party,India,Political Party,Samajwadi Party,IND,"['[""[\'UP\']""]']",2022-02-19,English,Ngec_Coder-Vers001-B1-Run-001
297,297,297,20220221-9813-1D96A03A5317_Coerce,2022-02-21,Coerce,-7.0,Material Conflict,,Delhi High Court,India,High Court,Delhi Court,Delhi Police,India,Law Enforcement Agency,Delhi Police,IND,"['[""[\'DL\']""]']",2022-02-21,English,Ngec_Coder-Vers001-B1-Run-001
298,298,298,20220221-9742-232136C22A5D_Accuse,2022-02-21,Accuse,-3.0,Verbal Conflict,Election,Akhilesh Yadav,India,Party President,Akhilesh Yadav,Yogi Adityanath,India,Chief Minister,Yogi Adityanath,IND,"['[""[\'UP\']""]']",2022-02-21,English,Ngec_Coder-Vers001-B1-Run-001
299,299,299,20220221-9813-1D96A03A5317_Accuse,2022-02-21,Accuse,-3.0,Verbal Conflict,,Delhi High Court,India,High Court,Delhi Court,Delhi Police,India,Law Enforcement Agency,The Delhi Police,IND,"['[""[\'DL\']""]']",2022-02-21,English,Ngec_Coder-Vers001-B1-Run-001
300,300,300,20220222-1092-Dd0Ec8Eb6173_Accuse,2022-02-22,Accuse,-3.0,Verbal Conflict,,Kerala High Court,India,High Court,Kerala High Court,Dileep,India,Actor,Dileep,IND,"['[""[\'KL\']""]']",2022-02-22,English,Ngec_Coder-Vers001-B1-Run-001
301,301,301,20220222-3242-Ab1963731553_Accuse,2022-02-22,Accuse,-3.0,Verbal Conflict,,Delhi High Court,India,High Court,Delhi High Court,Delhi Police,India,Law Enforcement Agency,Delhi Police,IND,"['[""[\'DL\']""]']",2022-02-22,English,Ngec_Coder-Vers001-B1-Run-001
302,302,302,20220222-5670-1649Fa54221D_Accuse,2022-02-22,Accuse,-3.0,Verbal Conflict,,Delhi High Court,India,High Court,Delhi High Court,Delhi Police,India,Law Enforcement Agency,Delhi Police,IND,"['[""[\'DL\']""]']",2022-02-22,English,Ngec_Coder-Vers001-B1-Run-001
